3,8
7,25
9,35
15,54
18,68
26,76
27,77
35,93
39,106
45,113
49,118
50,123
55,124
64,128
66,136
72,146
78,163
81,178
83,193
85,198
90,215
93,232
94,233
101,234
105,252
113,262
116,277
119,295
124,298
127,317
133,319
142,337
144,341
146,354
155,370
164,378
172,381
173,389
182,406
189,424
190,431
193,436
202,453
208,470
216,485
218,501
227,502
233,511
237,514
243,527
252,540
257,546
266,558
269,568
276,570
277,572
279,591
288,593
295,600
297,602
301,603
307,622
311,624
318,635
321,639
322,654
325,664
333,676
336,681
343,692
352,711
357,712
360,730
362,739
370,740
377,759
382,776
384,784
390,790
396,800
404,807
406,813
407,826
416,834
425,839
433,843
440,853
443,864
445,874
454,891
458,899
462,905
465,924
471,943
472,944
477,953
481,954
486,961
495,962
499,973
